,id,ms_subclass,ms_zoning,lot_frontage,lot_area,street,land_contour,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_sf_2,total_bsmt_sf,heating_qc,central_air,electrical,gr_liv_area,bsmt_full_bath,full_bath,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,sale_type,saleprice
0,109,60,RL,72.77464788732394,13517,Pave,Lvl,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,0.0,725.0,5,Y,5,1479,0.0,2,1,4,6,7,0,0,Attchd,1976.0,2,2.0,475.0,3,3,3,WD ,130500
1,544,60,RL,43.0,11492,Pave,Lvl,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,0.0,913.0,5,Y,5,2122,1.0,2,1,4,8,7,1,3,Attchd,1997.0,2,2.0,559.0,3,3,3,WD ,220000
2,153,20,RL,68.0,7922,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,0.0,1057.0,3,Y,5,1057,1.0,1,1,4,5,7,0,0,Detchd,1953.0,1,1.0,246.0,3,3,3,WD ,109000
3,318,60,RL,73.0,9802,Pave,Lvl,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,0.0,384.0,4,Y,5,1444,0.0,2,1,3,7,7,0,0,BuiltIn,2007.0,3,2.0,400.0,3,3,3,WD ,174000
4,255,50,RL,82.0,14235,Pave,Lvl,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,0.0,676.0,3,Y,5,1445,0.0,2,1,3,6,7,0,0,Detchd,1957.0,1,2.0,484.0,3,3,1,WD ,138500
5,138,20,RL,137.0,16492,Pave,Lvl,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,713.0,1517.0,5,Y,5,1888,0.0,2,1,4,6,4,1,4,Attchd,1966.0,3,2.0,578.0,3,3,3,WD ,190000
6,2827,180,RM,35.0,3675,Pave,Lvl,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,0.0,547.0,4,Y,5,1072,1.0,2,1,3,5,7,0,0,Basment,2005.0,3,2.0,525.0,3,3,3,New,140000
7,145,20,RL,75.19245283018869,12160,Pave,Lvl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,0.0,1188.0,2,Y,5,1188,1.0,1,1,3,6,7,0,0,Attchd,1959.0,2,2.0,531.0,3,3,3,COD,142000
8,1942,20,RL,62.80254777070064,15783,Pave,Lvl,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,0.0,924.0,3,Y,5,924,0.0,1,1,3,6,7,0,0,Detchd,1952.0,1,1.0,420.0,3,3,3,WD ,112500
9,1956,60,RL,70.0,11606,Pave,HLS,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,0.0,1040.0,3,Y,5,2080,0.0,1,1,2,9,7,2,3,Attchd,1969.0,1,2.0,504.0,3,3,3,WD ,135000
10,1044,160,RM,21.0,1680,Pave,Lvl,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,0.0,483.0,3,Y,5,987,0.0,1,1,3,4,7,0,0,Detchd,1971.0,1,1.0,264.0,3,3,3,COD,85400
11,2752,20,RL,64.0,7488,Pave,Lvl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,0.0,1208.0,5,Y,5,1208,0.0,2,1,4,6,7,0,0,Attchd,2005.0,2,2.0,632.0,3,3,3,WD ,183600
12,807,70,RL,120.0,26400,Pave,Bnk,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0.0,0.0,5,Y,5,2016,0.0,1,1,3,7,4,1,3,Attchd,1900.0,1,2.0,576.0,3,3,2,WD ,131000
13,1177,160,FV,24.0,2645,Pave,Lvl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,0.0,960.0,5,Y,5,1607,1.0,2,1,4,7,7,0,0,Detchd,2000.0,1,2.0,480.0,3,3,3,ConLD,200000
14,1480,20,RL,74.0,9627,Pave,Lvl,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,0.0,1351.0,5,Y,5,1361,0.0,2,1,4,6,7,0,0,Attchd,2007.0,2,2.0,610.0,3,3,3,WD ,193000
15,324,20,RL,93.0,10114,Pave,Lvl,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,0.0,1430.0,5,Y,5,1430,0.0,2,1,4,7,7,0,0,Attchd,2004.0,2,2.0,624.0,3,3,3,WD ,173500
16,1311,70,RM,34.0,4571,Pave,Lvl,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,0.0,624.0,2,N,5,1344,0.0,1,1,3,7,7,0,0,Detchd,1916.0,1,3.0,513.0,2,2,3,COD,98000
17,770,20,RL,80.0,8816,Pave,Lvl,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,0.0,1121.0,3,Y,5,1121,1.0,1,1,3,5,7,0,0,Detchd,1963.0,1,2.0,480.0,3,3,3,WD ,139000
18,2063,20,RL,71.0,8197,Pave,Lvl,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,0.0,660.0,5,Y,5,1285,0.0,1,1,3,7,7,1,3,Attchd,1977.0,2,2.0,528.0,3,3,3,WD ,143500
19,69,60,FV,72.0,8640,Pave,Lvl,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,0.0,756.0,5,Y,5,1547,0.0,2,1,4,7,7,0,0,Attchd,2009.0,1,2.0,614.0,3,3,3,Con,215200
